,Unnamed: 0.1,Unnamed: 0,track_id,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,track_name,artist_name,cluster_label
0,2,2,5,0.0435668989,0.7455658702,0.7014699916,0.000696799,0.35,0.1245953419,100.26,0.6216612236,This World,AWOL,7
1,3,3,10,0.9516699648,0.6581786543,0.9245251615,0.9654270154,0.1154738842,0.0329852191,111.562,0.9635898919,Freeway,Kurt Vile,7
2,4,4,134,0.4522173071,0.5132380502,0.5604099311,0.0194426943,0.096566694,0.5255193792,114.29,0.8940722715,Street Music,AWOL,1
3,5,5,139,0.1065495253,0.2609111726,0.6070668636,0.8350869898,0.2236762711,0.0305692764,196.961,0.1602670903,CandyAss,Alec K. Redfearn & the Eyesores,5
4,6,6,140,0.3763124975,0.7340790229,0.2656847734,0.6695811237,0.0859951222,0.0390682262,107.952,0.6099912728,Queen Of The Wires,Alec K. Redfearn & the Eyesores,7
5,7,7,141,0.9636568796,0.435932998,0.0756321472,0.3454934909,0.1056858694,0.0266578493,33.477,0.1639499337,Ohio,Alec K. Redfearn & the Eyesores,6
6,28,28,190,0.9906294902,0.5007534567,0.3712297429,0.1028384438,0.2188101942,0.0325288108,100.919,0.2512323052,Castle Of Stars,Ed Askew,7
7,31,31,193,0.9140388753,0.6406010435,0.1640712523,0.7605621934,0.2583990328,0.0992103212,49.831,0.190789711,Here With You,Ed Askew,6
8,32,32,194,0.9929059493,0.4947301766,0.2003375585,0.618086852,0.0864499383,0.0389377953,103.779,0.2532444151,All I want to Do,Ed Askew,7
9,35,35,197,0.983585184,0.6026565649,0.0070436969,0.7917134418,0.0800219127,0.4211134428,128.698,0.7700094571,Piano 2,Ed Askew,1
10,36,36,198,0.9947583569,0.4444766366,0.2542024555,0.9073222684,0.1381990807,0.0326918427,107.605,0.1920340768,It Breaks My Heart,Ed Askew,7
11,38,38,200,0.9601916036,0.2159259286,0.2951264558,0.8029777144,0.1700761208,0.0378251053,200.391,0.3677399293,Baby Come Home,Ed Askew,5
12,41,41,203,0.9927647775,0.5889867604,0.1379182946,0.0873760557,0.0957687898,0.0584639744,122.31,0.6310426834,Song For R,Ed Askew,1
13,42,42,204,0.9767540277,0.4134284125,0.2261673577,0.2648709939,0.1450636575,0.0394289715,105.012,0.2535385321,My Dream,Ed Askew,7
14,45,45,207,0.9872581156,0.6337333928,0.0089874678,0.91008157,0.1079745759,0.2486733219,49.581,0.7088659407,Piano 3,Ed Askew,6
15,46,46,208,0.9857274225,0.4165116076,0.3633095777,0.7833436078,0.2084982689,0.0331775203,110.579,0.218290722,Safe Harbor,Ed Askew,7
16,47,47,209,0.9952728476,0.4806609025,0.5754643724,0.8969551174,0.35,0.080061934,96.053,0.2229531438,Safe Harbor,Ed Askew,4
17,48,48,210,0.9895332895,0.4301895798,0.2270358594,0.5246838508,0.1058152942,0.0344977278,96.845,0.2727912235,In the French Court,Ed Askew,4
18,49,49,211,0.9911357831,0.6055538261,0.1730043357,0.8060266737,0.1652396741,0.0298381006,95.105,0.1546003066,In America,Ed Askew,4
